URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bd6t5420246j;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1904-03-14;"14 mars 1904 ¤ 1904/03/14 (A27,N62). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;76.25;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t59591406;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1928-07-18;"18 juillet 1928 ¤ 1928/07/18 (A51,N197). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;81.35;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5958075j;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1921-10-18;"18 octobre 1921 ¤ 1921/10/18 (A44,N242). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;84.41;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5958255g;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1927-10-29;"29 octobre 1927 ¤ 1927/10/29 (A50,N298). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;82.76;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5964472s;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1919-11-29;"29 novembre 1919 ¤ 1919/11/29 (A42,N279). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;77.57;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5958944x;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1932-07-02;"02 juillet 1932 ¤ 1932/07/02 (A55,N182). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;82.92;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5961557g;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1925-05-07;"07 mai 1925 ¤ 1925/05/07 (A48,N126). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;80.04;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t59586351;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1938-05-24;"24 mai 1938 ¤ 1938/05/24 (A61,N142). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;83.25;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5962321t;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1933-12-20;"20 décembre 1933 ¤ 1933/12/20 (A56,N351). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;84.16;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5962799h;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1924-04-19;"19 avril 1924 ¤ 1924/04/19 (A47,N110). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;83.52;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5962980c;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1937-10-23;"23 octobre 1937 ¤ 1937/10/23 (A60,N294). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;83.83;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5418148z;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1901-05-22;"22 mai 1901 ¤ 1901/05/22 (A24,N118). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;63.41;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
