URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bpt6k3025627d;Weissenburger Zeitung;fascicules;;;[s.n.] (Weissenburg);1893-10-26;"26 octobre 1893 ¤ 1893/10/26 (N251). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb420481343;domaine public ¤ public domain;;BNUStr014;84.33;Bibliothèque nationale et universitaire de Strasbourg , M.600.047
https://www.numistral.fr/ark:/12148/bpt6k3003136g;Affiches de Strasbourg : feuille d'annonces légales et avis divers de l'arrondissement de Strasbourg ¤ Strassburger Wochenblatt;fascicules;;;[s.n.] (Strasbourg);1852-03-06;"06 mars 1852 ¤ 1852/03/06 (N19,A65). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb326832280;domaine public ¤ public domain;;BNUStr014 ¤ BIPNOUV;84.66;Bibliothèque nationale et universitaire de Strasbourg , M.400.081
https://www.numistral.fr/ark:/12148/bpt6k30361063;Journal de Wissembourg : anct Weissenburger Zeitung;fascicules;;;[s.n.] (Wissembourg);1932-07-04;"04 juillet 1932 ¤ 1932/07/04 (N154,A130). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb327990524;domaine public ¤ public domain;;BNUStr014;88.76;Bibliothèque nationale et universitaire de Strasbourg , M.600.047
https://www.numistral.fr/ark:/12148/bpt6k3033220s;Journal de Wissembourg : anct Weissenburger Zeitung;fascicules;;;[s.n.] (Wissembourg);1922-09-08;"08 septembre 1922 ¤ 1922/09/08 (N209,A120). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb327990524;domaine public ¤ public domain;;BNUStr014;80.81;Bibliothèque nationale et universitaire de Strasbourg , M.600.047
https://www.numistral.fr/ark:/12148/bpt6k3037201p;Journal de Wissembourg : anct Weissenburger Zeitung;fascicules;;;[s.n.] (Wissembourg);1936-02-24;"24 février 1936 ¤ 1936/02/24 (N46,A134). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb327990524;domaine public ¤ public domain;;BNUStr014;87.07;Bibliothèque nationale et universitaire de Strasbourg , M.600.047
https://www.numistral.fr/ark:/12148/bpt6k3035624f;Journal de Wissembourg : anct Weissenburger Zeitung;fascicules;;;[s.n.] (Wissembourg);1930-11-07;"07 novembre 1930 ¤ 1930/11/07 (N259,A128). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb327990524;domaine public ¤ public domain;;BNUStr014;88.67;Bibliothèque nationale et universitaire de Strasbourg , M.600.047
https://www.numistral.fr/ark:/12148/bpt6k31936417;L'Indicateur pour la ville de Strasbourg et le département du Bas-Rhin : feuille d'annonces et de variétés;fascicules;;;Dannbach (Strasbourg);1857-06-06;"06 juin 1857 ¤ 1857/06/06 (N45). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32790784h;domaine public ¤ public domain;;BNUStr014;84.41;Bibliothèque nationale et universitaire de Strasbourg , M.39.274
https://www.numistral.fr/ark:/12148/bpt6k3140509c;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-02-20;"20 février 1925 ¤ 1925/02/20 (N43,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.2;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140745x;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-12-01;"01 décembre 1925 ¤ 1925/12/01 (N279,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.8;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141062b;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1926-12-17;"17 décembre 1926 ¤ 1926/12/17 (N293,A4). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.2;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141425f;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1928-03-02;"02 mars 1928 ¤ 1928/03/02 (N53,A6). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.5;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
